hyp_loss_function,hyp_hidden_layer_count,hyp_units_per_hidden_layer,hyp_activation_per_hidden_layer,hyp_optimizer,hyp_epochs,hyp_batch_size,hyp_feature_count,hyp_class_count,obj_total_layers,obj_total_nodes,obj_training_time,obj_loss,obj_accuracy,obj_false_positive_rate,obj_false_negative_rate,obj_true_positive_rate,obj_true_negative_rate,obj_f1,obj_precision,obj_auc
cosine_similarity,10,"[118, 126, 83, 38, 67, 96, 68, 100, 103, 53]","['tanh', 'tanh', 'relu', 'tanh', 'tanh', 'tanh', 'tanh', 'sigmoid', 'relu', 'relu']",rmsprop,17,32,30,2,12,884,0.7728519439697266,-0.6666666865348816,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,0.0,0.26246537396121883
binary_crossentropy,12,"[63, 17, 100, 36, 17, 49, 36, 85, 53, 96, 38, 33]","['relu', 'sigmoid', 'relu', 'relu', 'relu', 'relu', 'sigmoid', 'tanh', 'tanh', 'sigmoid', 'relu', 'tanh']",sgd,8,16,30,2,14,655,0.32857680320739746,0.6455166339874268,0.6666666666666666,1.0,0.0,1.0,0.0,0.8,0.6666666666666666,0.730090027700831
binary_focal_crossentropy,11,"[63, 17, 100, 36, 17, 49, 36, 85, 53, 96, 38]","['relu', 'sigmoid', 'relu', 'tanh', 'relu', 'relu', 'sigmoid', 'tanh', 'tanh', 'sigmoid', 'relu']",rmsprop,8,16,30,2,13,622,0.687169075012207,0.012614498846232891,0.9824561403508771,0.02631578947368421,0.013157894736842105,0.9868421052631579,0.9736842105263158,0.05126452494873548,0.9868421052631579,0.9989612188365651
cosine_similarity,9,"[30, 85, 109, 64, 126, 105, 35, 87, 77]","['relu', 'sigmoid', 'sigmoid', 'sigmoid', 'relu', 'tanh', 'tanh', 'sigmoid', 'sigmoid']",adam,9,128,30,2,11,750,0.7973418235778809,-0.6666666865348816,0.6666666666666666,1.0,0.0,1.0,0.0,0.8,0.6666666666666666,0.5856994459833795
cosine_similarity,10,"[30, 85, 109, 64, 126, 105, 35, 87, 77, 114]","['relu', 'sigmoid', 'sigmoid', 'sigmoid', 'relu', 'tanh', 'tanh', 'sigmoid', 'sigmoid', 'relu']",adam,15,128,30,2,12,864,1.0819768905639648,-0.6666666865348816,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,0.0,0.4406163434903047
cosine_similarity,9,"[30, 85, 109, 64, 126, 105, 35, 57, 58]","['relu', 'sigmoid', 'sigmoid', 'sigmoid', 'relu', 'tanh', 'tanh', 'sigmoid', 'sigmoid']",sgd,15,128,30,2,11,701,0.3645639419555664,-0.6666666865348816,0.6666666666666666,1.0,0.0,1.0,0.0,0.8,0.6666666666666666,0.5441481994459834
cosine_similarity,7,"[82, 101, 104, 124, 100, 17, 128]","['tanh', 'sigmoid', 'relu', 'tanh', 'sigmoid', 'tanh', 'tanh']",rmsprop,11,64,30,2,9,688,0.8303670883178711,-0.6666666865348816,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,0.0,0.35491689750692523
cosine_similarity,2,"[45, 102]","['relu', 'relu']",rmsprop,20,64,30,2,4,179,0.4767160415649414,-0.6666666865348816,0.3333333333333333,0.07894736842105263,0.9605263157894737,0.039473684210526314,0.9210526315789473,0.13636363636363635,0.5,0.7583102493074793
binary_focal_crossentropy,11,"[63, 17, 100, 36, 17, 49, 36, 85, 53, 59, 19]","['relu', 'sigmoid', 'relu', 'relu', 'relu', 'relu', 'sigmoid', 'tanh', 'tanh', 'sigmoid', 'relu']",sgd,8,16,30,2,13,566,0.3339381217956543,0.16205495595932007,0.6666666666666666,1.0,0.0,1.0,0.0,0.8,0.6666666666666666,0.19009695290858725
binary_crossentropy,11,"[63, 17, 100, 36, 17, 49, 36, 85, 53, 96, 38]","['relu', 'sigmoid', 'relu', 'relu', 'relu', 'relu', 'sigmoid', 'tanh', 'tanh', 'sigmoid', 'relu']",sgd,8,32,30,2,13,622,0.2900233268737793,0.6445289850234985,0.6666666666666666,1.0,0.0,1.0,0.0,0.8,0.6666666666666666,0.5147160664819944
